etat_car,marque,annee,boite_vit,adresse_vente,prix,image_link
Occasion,Jeep,2017,Automatique,"Parcelles Assainies,Dakar",18000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/607284b1ec4b9d8f8bbc7d40be8e8cc6/-/horizon-files-prod/ed/picture/qrzve9pj/f0f43c7a0e957cef3f03e7bde21a3795b366e01c.jpg
Venant,Peugeot,2016,Manuelle,"Ouakam,Dakar",4600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f19a5d997e6ab713a0c4c59767daad35/-/horizon-files-prod/ed/picture/qgq9zzmm/a85dfd3a5431fa8f0c0d61676ba33ae35467563e.jpg
Venant,Renault,2016,Automatique,"Mermoz,Dakar",6650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63dfaa0d7cde0abfe1a3102d3ecf9377/-/horizon-files-prod/ed/picture/qpd6ejd0/9b5100cd31b9fb59b75d721f049fcba336177025.jpg
Venant,Renault,2020,Automatique,"Mermoz,Dakar",9800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a64c39bfa87e6fba5f74fa6cf94119b1/-/horizon-files-prod/ed/picture/qdekv8eg/2c95e33c4db382a69f974c672946899f92b347a1.jpg
Occasion,Ford,2013,Automatique,"Point-e,Dakar",3600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1bff25aec17dad3554fe48580e6a0113/-/horizon-files-prod/ed/picture/qngxmrx0/3a8b3dcf03b1b16a069c1b53889279be6a620714.jpg
Venant,Toyota,2021,Automatique,"Liberte 6,Dakar",22500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/213f18dd669e5d70866c61761f146de8/-/horizon-files-prod/ed/picture/q0gwq5e8/2f69f9bb810b9229ec8917855ddb7f4b615bea2f.jpg
Occasion,Kia,2014,Automatique,"Sicap Liberté,Dakar",6500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/53be506bddf2fd94b3a9e64258a2ef57/-/horizon-files-prod/ed/picture/qgq9v4kq/df37f14e9f15fafb635771e5c2345ecba77a0ec8.jpg
Venant,Kia,2015,Automatique,"Liberte 6,Dakar",6900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d0656aafec204a510d0bbc52648480bc/-/horizon-files-prod/ed/picture/qzvd7end/0968ee29cc3a30b451c4bfeff7da5909c4f7857f.jpg
Venant,BMW,2019,Automatique,"Liberte 6,Dakar",44000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c37dfdde941c1e1770bda350dd5c75e/-/horizon-files-prod/ed/picture/q2jq45mp/2d55169364879ba33e50abfde5a1792996c06735.jpg
Occasion,Ford,2015,Automatique,"Sicap foire,Dakar",4500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6c3943d56b2bbfc20d687b1cd0bec4d0/-/horizon-files-prod/ed/picture/qj4rn2k8/065bca0539f894d0c5ba8daadc48949a926ab590.jpg
Venant,Toyota,2014,Manuelle,"Liberte 6,Dakar",10500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2e472808449fde742149d8a5722e048b/-/horizon-files-prod/ed/picture/qm5pzd2w/df485ad49edd71843237818d474054c89b048a32.jpg
Venant,Hyundai,2017,Automatique,"Sicap foire,Dakar",7500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e92e625548a0ace964414df667f8094c/-/horizon-files-prod/ed/picture/qq47mgep/3f1a7d4e5c04b137da32db7d3d1dd7b57d65478d.jpg
Occasion,BMW,2019,Automatique,"Almadies,Dakar",37000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9d4463ea2194ea7e1ff669e70d0a60b5/-/horizon-files-prod/ed/picture/q9m9pg8w/6bfb2f7d3e161f33b04a6d4faf23c5d397f3a33e.jpg
Venant,Toyota,2010,Manuelle,"Parcelles Assainies,Dakar",4800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6571fee389d7e7349cb6365b99b2b7f/-/horizon-files-prod/ed/picture/q56xjnge/60c377e21bd17ee3c243293af76d3c677921dacd.jpg
Occasion,Toyota,2010,Automatique,"Parcelles Assainies,Dakar",2300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2455c5463adb818c1d6db92d5f2c55d8/-/horizon-files-prod/ed/picture/q8v5e706/0a8a6e5507cf22464fc49247ccc30ded5656c882.jpg
Neuf,Hyundai,2015,Automatique,"Cité Damel,Dakar",7300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1c68391763abae9d4b42966f06ac0fcc/-/horizon-files-prod/ed/picture/qdekpqr2/a4dd3183cfdc662fdec01e8199355f2b5eef3f23.jpg
Occasion,Mitsubishi,2011,Automatique,"Yoff,Dakar",5400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4a61ba37162f9de093433119d4cc41fb/-/horizon-files-prod/ed/picture/qkrgw2zp/b6fed8e4051363f20c645325498fe6caf690812b.jpg
Venant,Jeep,2016,Automatique,"Liberte 6,Dakar",9500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e69f115cd4dc114b4b3f58fb86835d7c/-/horizon-files-prod/ed/picture/qkrgw2kp/2f518c308964b8c94cef6f6f31b4a02349449dc9.jpg
Venant,Kia,2022,Automatique,"Mermoz,Dakar",33000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1f7b8887875f6096236ae79c87128d87/-/horizon-files-prod/ed/picture/qq47jrqe/39012a898cdd2a2caadcc5715be3410ba3748f09.jpg
