etat_moto,marque,annee,adresse_vente,prix,image_link
Occasion,BMW,2019,"Almadies,Dakar",2800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f99f9e16769813d5ced1340f9970a22d/-/horizon-files-prod/ed/picture/qv4e7x82/5be16486ec42c97b57a89bd5afa50be9ad1b8877.jpg
Venant,Kymco,2021,"Liberte 6 extension,Dakar",1800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/050eac97076a4c141824cac8ed6ce719/-/horizon-files-prod/ed/picture/qwe295vm/e658c891066026534d1b401933e8c77a7f0233b2.jpg
Occasion,Yamaha,2013,"Mbour,Thiès",1985000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/94c3eb110a03fdd8218c5af64b78ad75/-/horizon-files-prod/ed/picture/qngxep7w/3b0536f3138b266089bc0ca6bd47ff8f703cebd2.jpg
Occasion,KTM,2014,"Ouakam,Dakar",1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bd197d8f926e69fde58c0e51ee288c0f/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qzvdkx26/72ea58af14ffb72c1db592883e24185b16cfb23b.jpg
Venant,Yamaha,2006,"Malika,Dakar",1400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a334ebac5b25f39b026e4300415de2c2/-/horizon-files-prod/ed/picture/qngxmw2e/eac9b0dd2f42d7c9b6b3ac2e24b345f84f2e5e92.jpg
Venant,Ducati,2017,"Dieuppeul,Dakar",2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e3fc5b952a12f2ef58ee02f6616adde2/-/horizon-files-prod/ed/picture/qq47jw5j/2286f9e30ae1e92b3e8071128e2fbec22139e462.jpg
Occasion,Honda,2018,"Sacré-cœur,Dakar",2700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e05d380dd763e513c5b9a1b886e3451b/-/horizon-files-prod/ed/picture/qngxm75z/9e2230008877a16a80d056cf102f27981f2a91a9.jpg
Venant,Kymco,2024,"Pikine,Dakar",475000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3f03499f0a81acf0ecf721c0cf824847/-/horizon-files-prod/ed/picture/qxj2vm0v/685229ea7a45f929a0b8069d949f70a5917906e7.jpg
Occasion,Yamaha,2017,"Mbour,Thiès",3500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e3adb1d2740ca1c1d987fa9c97782a78/-/horizon-files-prod/ed/picture/qdekvkgw/7a185738a59dbc38301cc4e8ccc4988177ef3afa.jpg
Occasion,Arctic Cat,2014,"Mbour,Thiès",3500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/053084ce272cf6598e73aa02afe3117a/-/horizon-files-prod/ed/picture/qenq0qkv/2106eb6f14f00f9b676a3eaa5378155e338d0319.jpg
Venant,Piaggio,2020,"Golf,Dakar",1100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6dc6571dbe634f526ce45adae5d04077/-/horizon-files-prod/ed/picture/q8v5e5dz/a5268518551aa9eb3f0e8bb042cb8fa2c838eff5.jpg
Venant,TGB,2017,"Sicap Liberté,Dakar",1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/badade8dea0f214d1ef6c9f42dec40b5/-/horizon-files-prod/ed/picture/q785evrd/2dc977695d9a7794947d7200234156988a194ee1.jpg
Neuf,Piaggio,2020,"Almadies 2,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/895a87cebaf9cad8fbb01cd454dfe463/-/horizon-files-prod/ed/picture/qm5p2862/eb01501d0364dcdff495dfb8f5fa0b2067c3dc73.jpg
Occasion,Autre,2020,"Saly Portudal,Thiès",1100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a2cce30b52d9d5731d7afa6a3a7def16/-/horizon-files-prod/ed/picture/qj4rkv4z/8e2a5effd5371e8d1dacc86c0592329d6d4e5724.jpg
Venant,BMW,2003,"Hann maristes,Dakar",1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d9175a39b0f812df91973300a48951b1/-/horizon-files-prod/ed/picture/q44879r8/5e43ae163c80e1626d7cfd6b6b465c0cc4d1e559.jpg
Neuf,Lifan,2024,"Castor,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7925856756ae2436c608ca464458f241/-/horizon-files-prod/ed/picture/qdek8vv0/adf36d0eac772371fcb569b0043051c1e9f8f82f.jpg
Neuf,Autre,2024,"Castor,Dakar",2500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6e5f3717aa24b6b1499837f61f13360/-/horizon-files-prod/ed/picture/qgq9xnnq/bd9d37c70a3dc72e6022f9e75f17a6f86ada48c4.jpg
Occasion,Yamaha,2017,"Bel air,Dakar",1800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2dcaf0ed44d345cce06f4196e52c47b7/-/horizon-files-prod/ed/picture/qm5p2mjw/0ae8104aed50aba25af4d6a82081e5bbde7a023d.jpg
