details,etat,adresse_vente,prix,image_link
Gilet de protection pour moto,Neuf,"Hann maristes,Dakar",29000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ce5febc099a271b2a2069cf0f27ea04/-/horizon-files-prod/ed/picture/qgq9ken8/7a1fc1c3abcabc450b921c420a0074c705fe3b2d.jpg
CRIC ÉLECTRIQUE DE VOITURES,Neuf,"Hann maristes,Dakar",90000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/661ab618608570a9333d49fe71c4f6fd/-/horizon-files-prod/ed/picture/qkrgq50w/b2652657fa10fd92731e4135380ef385fc3a2987.jpg
ÉTUI DE CLÉS POUR VOITURES,Neuf,"Hann maristes,Dakar",12000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8b8126e326eff13d081ec6bdde0c2da6/-/horizon-files-prod/ed/picture/q8v5dzgr/a7369f3097ae7f9c0b6de51855a8564e301ae220.jpg
Support téléphone pour moto,Neuf,"Hann maristes,Dakar",7000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1cf9c46f9f03dfb0fe5a7f09b8568a80/-/horizon-files-prod/ed/picture/qgq9kewe/fd611ef247d29b5158fb20f46f79154b85a344e9.jpg
Casque moto,Neuf,"Hann maristes,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3611328abc24b8e49fdafff1cac0b629/-/horizon-files-prod/ed/picture/qxj2nv2m/4e0aadb2d3ba24ba86186d27c55caad9c924edc9.jpg
Casque moto original,Neuf,"Hann maristes,Dakar",49,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a2e03ef754cf58fab72239810df27e8b/-/horizon-files-prod/ed/picture/q8v52w5x/b4ae1d1ab746800ec8f25db6881c5771f30968b3.jpg
Pneu et jantes,Neuf,"Plateau,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f47dd5352a0a0ac43f467e5defde02c1/-/horizon-files-prod/ed/picture/q0gwxpmk/0fc3151f307285056b30ed3a5d5caa5dacd0a603.jpg
Réparation et vente d'injecteurs de tous types,Neuf,"Ouakam,Dakar",60,https://i.roamcdn.net/hz/ed/listing-thumb-224w/86d3186b9105a00564887146c4d8b607/-/horizon-files-prod/ed/picture/qrzv0wj4/9e90c109be69c459a939f72fd52bd99de1645ffa.jpg
Support téléphone voiture,Neuf,"Hann maristes,Dakar",6000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f1715f78e9aaf5cd5f30a25fe62998ef/-/horizon-files-prod/ed/picture/qwe29z4g/5b1ad61cdb0ea8bab38ad92bfa36bde6d7ee1d25.jpg
launch creader 3008 nouveau modèle,Neuf,"Yoff,Dakar",70000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7ffe1884f4a46b990dbe6b8b07257283/-/horizon-files-prod/ed/picture/q2jq22dq/8cac97045ef1b8264ccc1e27dfe7649363d2c257.jpg
diagzone 2 ans voiture camion moto engin bus 46 reset,Neuf,"Yoff,Dakar",220000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dd9b02505a433829d9f8745672f2c85a/-/horizon-files-prod/ed/picture/qwe299j0/79017cba93b8acaf5f89dee77b337e759200d689.jpg
Diag box spécialisée Peugeot et Citroën,Neuf,"Yoff,Dakar",80000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d416490c577627c313f589bab323fb4b/-/horizon-files-prod/ed/picture/q8d279r/7c2e9a97fcb745121b1618f8aa91edcfb22d6db7.jpg
apareil diagnostic toute marque de voiture v 309,Neuf,"Yoff,Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ebc45dbf3ce3b281d0147da7a723c242/-/horizon-files-prod/ed/picture/q0gw9mkz/6b706bc37d7f1c836985a7e708966d2b8a36e9e5.jpg
IM608 Pro Diag Programmation Clé et ECU XP400 Pro et J2534,Neuf,"Yoff,Dakar",1800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/131795dd85ab7312b60256c354608a76/-/horizon-files-prod/ed/picture/qj44w66d/4ce5a25b764eafb9d5fe1c40dadaf4023f097e51.jpg
autocom nouvelles versions 2021.23 voiture et camion,Neuf,"Yoff,Dakar",75000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5048ace23770d065c5834d9b83a02838/-/horizon-files-prod/ed/picture/qrzv6rn5/49a2ca7e7e93ffe065c519e6b90911ecf88fad88.jpg
Autel KM 100 . 2022 générateur cles universel,Neuf,"Yoff,Dakar",430000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f54f0574da632802d4c847a5d0740782/-/horizon-files-prod/ed/picture/q0rpz48/7058457d7a210558af93af1ac1f206a9559e0890.jpg
launch tablette 123 x,Neuf,"Yoff,Dakar",175000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fee72c4d47d8f80f9b9cd9095ddc1cd8/-/horizon-files-prod/ed/picture/qx7km70/c801b33f1112eaefcf0c3c004e5b027ebd80cffa.jpg
autel mk 808 S 2023 diagnostic voiture toute marque,Neuf,"Yoff,Dakar",450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d6a5442e557aa3c254c70ff7e6646185/-/horizon-files-prod/ed/picture/q8vzrek9/493193d7131efec2e83d392f4f5b6eacab5bb857.jpg
OTOFIX Watch Smart Key Watch 3 en 1 Portable Smart Key,Neuf,"Yoff,Dakar",85000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1941c8d09a1c938c2ba015cdfc429457/-/horizon-files-prod/ed/picture/qv4e5665/1612f27c57a4aa6f313377892ae00242a578d408.jpg
thinkdiag full marque et full fonction,Neuf,"Ngor,Dakar",85000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6f29e2fa959814a6199b234861d97260/-/horizon-files-prod/ed/picture/q49nk7m/3f9c3c00e18eafd5ef10d3982df48860ab6c522f.jpg
Parasoleil,Neuf,"Hann maristes,Dakar",5000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a438705d53d1a39765a45cf02c8966a1/-/horizon-files-prod/ed/picture/q9m922j0/52a5adbe6686c328899b7dd7edbf7409d345531c.jpg
Abel Nettoyant Phare,Neuf,"Guediawaye,Dakar",5000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/80df3eac12da62a29d5ffaf46a353501/-/horizon-files-prod/ed/picture/qj4rd2kv/7123ff64ae797d0e3b2d37be6f5fa530739881e0.jpg
Bâche moto,Neuf,"Hann maristes,Dakar",8000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/84737749c38afcfb46af49f70f579ebd/-/horizon-files-prod/ed/picture/qzvdqjk9/eaf2bac2763049d370b9d5ff04b3325684f62f70.jpg
Kit Bluetooth pour casque moto,Neuf,"Hann maristes,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e1a1907870f05d81833a9727fd8cd1ad/-/horizon-files-prod/ed/picture/q4482r7e/3d7711b81e9a1ff7f30dd4122037c4f33a1c5052.jpg
Support téléphone pour moto et velo,Neuf,"Hann maristes,Dakar",6000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6e4dcc493ca48e6ac234e109bbf53f6c/-/horizon-files-prod/ed/picture/q8v52knj/1c10d35b01ab4e6829d61756e17a0b9836428647.jpg
Scanner OBDII Outil de diagnostic voitures wifi ELM327,Neuf,"Patte d‘oie,Dakar",10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/033a5fb4ecee53e47533085de7ee1933/-/horizon-files-prod/ed/picture/qv4e0d28/f1f4bd47ef4622838565ce8839a219ac2b086477.jpg
Casque moto modulaire,Neuf,"Hann maristes,Dakar",29000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a2732bd0f5b9fa92d784cde8913aa5b2/-/horizon-files-prod/ed/picture/q8v52mjx/c6bb356fc592ff9abcb89e09ed2c301a0f08c074.jpg
Système verrouillage auto avec alarme antivol,Neuf,"Hann maristes,Dakar",18000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3f3b955465668b5fa2381e72551cf6fa/-/horizon-files-prod/ed/picture/qq47kzmv/b4bc22e06c7aa8e4320693986ef514db8af76778.jpg
Vase d'eau ford,Neuf,"Hann maristes,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d86933b97e831ac03e6fc630377a3226/-/horizon-files-prod/ed/picture/qrzvkqe5/2447a8d3d57e7ca53d470b8aa60c8ec491c3b6a2.jpg
Couvre volant et boîte à mouchoir strage,Neuf,"Hann maristes,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3be8cd9b71bcad77aaca7cb8f4247977/-/horizon-files-prod/ed/picture/qm5pkre9/8b4d8ce2f8a1797035d241f6f5a16a4a46411352.jpg
Bougie Ford,Neuf,"Hann maristes,Dakar",16000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eb81e9d2f92038bbd1f052a509b6dc84/-/horizon-files-prod/ed/picture/qkrgd5en/931b8cf245b72226664aa5d4c991e7ea8411eb51.jpg
Bougie Kia / Hyundai,Neuf,"Hann maristes,Dakar",16000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/298a77240aff0426c0476209da1ef739/-/horizon-files-prod/ed/picture/q4482dkp/fc7a62e9440e247472bc9eb1bac6ee6fafa9f64a.png
Venox anti égratignures,Neuf,"Hann maristes,Dakar",6000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/896ecee7627761bc3d2c8ad4e9285122/-/horizon-files-prod/ed/picture/q6xk26p4/634519477be22fb156a0191fea2cdeaa7fef9400.jpg
Huile moteur 5w30,Neuf,"Hann maristes,Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/85e1818189660b70de579a0cdb3619bc/-/horizon-files-prod/ed/picture/q56x24z0/597ea56a01cdae22af2590c9b847791e850ebc41.jpg
Housse auto,Neuf,"Hann maristes,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2951c5da41390c8e8353d77690ba8899/-/horizon-files-prod/ed/picture/qenqm559/4abf0add49966ed6f7c08c47880ccd24addb068d.jpg
Casque moto,Neuf,"Hann maristes,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5c5d51b7dc283f3e36d7ce0e7841eff6/-/horizon-files-prod/ed/picture/qngxkdgk/0d781993a6d8c158c4c16ed687f21e665a532d06.jpg
Casque moto,Neuf,"Hann maristes,Dakar",39000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b17b61e96d88304a2d00e4b369a5a5f6/-/horizon-files-prod/ed/picture/qenqm5n9/50729ba307049d5e801a6747743f2c76941b2fdd.jpg
Gilet protection Motard,Neuf,"Grand-Yoff,Dakar",37000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2b4e84f94669e8b6e283e49f664d5b8a/-/horizon-files-prod/ed/picture/qngxk5pv/3ea31dc92db347788cb86d39fc223f6a6d7f59af.jpg
Veste Protection Motard,Neuf,"Grand-Yoff,Dakar",85000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4abfbefbcc0f4026e8e5e3d2330fc1ac/-/horizon-files-prod/ed/picture/qgq9k5mq/f898c62e6ac1d5cda12580fcb0da7e7de46093c4.jpg
Malette moto Topcase,Neuf,"Grand-Yoff,Dakar",150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d92b32f0f24736edb3e76480e7642cf/-/horizon-files-prod/ed/picture/q6xkm5kj/8e833df0560d93b04ba0280cf4ec0e9687f02d6d.jpg
Nettoyant catalyseur (DPF Cleaner),Neuf,"Mermoz,Dakar",10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9dd87bbb1b050a54a74c37575b8086b0/-/horizon-files-prod/ed/picture/qenqjg9z/f3eb0c753cd61971c7d2cbc4de799937806a43b0.jpg
Nettoyant injecteur,Neuf,"Mermoz,Dakar",5000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dac62a4c0d9a6926a91bb501d7b53974/-/horizon-files-prod/ed/picture/qdekjx0j/fa2a6c2b82a795a3649c16dc947bedf5ddaca675.jpg
Vente de pièces détachés,Neuf,"Médina,Dakar",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1d902833ae5582a486380cecc4ccb0f1/-/horizon-files-prod/ed/picture/q8v5xjjx/469d2407ba863b9926972d2e2132adab9415028c.jpg
Ventes de Pieces Détachées,Neuf,"Médina,Dakar",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/32da9a7c147c8305ac2b4bdc689e8fc5/-/horizon-files-prod/ed/picture/q8v5xjw0/46022aa521b6d3dde1a3d37d0b82d14a1df54b7f.jpg
Rétroviseurs avec Caméra avant et arrière,Neuf,"Hann maristes,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a3224657449ff5059e17726ccd9bd7bc/-/horizon-files-prod/ed/picture/q9mm677p/3024278522e44be4856832e8cb8553fe85a85383.jpg
Autoradio tactile 7 pouces universel multifonction,Neuf,"Parcelles Assainies,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/154c79d092bb5d0db3ef25f4bcba7792/-/horizon-files-prod/ed/picture/qvqv6w2/52ac7885a5cce854e62d3df1d54a8d3c84aefadf.jpg
Gyrophare à vendre pour les campagnes,Neuf,"Parcelles Assainies,Dakar",50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/57479d52c281c17e23e4b9be34993286/-/horizon-files-prod/ed/picture/qpd6q4pv/0803ac6718024d401399d475f62d2a95e6bab939.jpg
Parapluie / Bâche pour voiture,Neuf,"Ouest foire,Dakar",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/67f666b429add3839cc56a39dd9d5ce6/-/horizon-files-prod/ed/picture/qm5p4pnm/9337548127b8390b54ac9094b96260c3bea73aaf.jpg
Kit de phares Ampoules LED X-WillTop,Neuf,"Ouest foire,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7a941ac0477707a430db73b0f692203a/-/horizon-files-prod/ed/picture/qzvd5kex/65230e52c97f7d231444ca440b875578910aa46c.jpg
"GPS GF07, localisateur et Mini traceur",Neuf,"Médina,Dakar",12000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6da98454e805a131f929d2e4f4ed19bb/-/horizon-files-prod/ed/picture/qv4exdep/4744ea6cd2048c5f9520fa4a5fdc9df7f5aec189.jpg
Changer votre pare-brise,Neuf,"Médina,Dakar",10,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4875085641bc9c8645a8907d80182c97/-/horizon-files-prod/ed/picture/q6xk4kdn/66b1ca2893d9590b7c479a750d59bb736efc417c.jpg
Désodorisants auto Gota a gota,Neuf,"Colobane,Dakar",2500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a99955d5d40c3749a0ea4470c14e8ce7/-/horizon-files-prod/ed/picture/q9m8q0vx/bd8e422b1f36c5aaf96202f0e85381cde1cb5d56.jpg
Désodorisants auto - Exotica,Neuf,"Colobane,Dakar",2500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ef3f45c85be66b62cb6024fc89ad36de/-/horizon-files-prod/ed/picture/qgqge56q/e68515d7feb71510e1151faea85912ce914faa44.jpg
Casque moto-scooter homologués,Neuf,"Hann maristes,Dakar",48000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/82834ff377c9137b5bc4d444c3828754/-/horizon-files-prod/ed/picture/qpd6q054/4b73b5e9ef31c9c9d44dfd1b3eab608b2a61cef4.jpg
Vente de pièces détachées,Neuf,"Parcelles Assainies,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f4d5a264a35b874898d49b9cd4621489/-/horizon-files-prod/ed/picture/q8vz9gjp/82291d9c33fb7d30fff4d696f6c6f5cf217d4792.jpg
Spomicrophone universel pour Pare-Chocs,Neuf,"Hann maristes,Dakar",40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f12b2ec4a9f991f30f9ed61e9f7edc53/-/horizon-files-prod/ed/picture/qen5z5vz/ae78e42be42a9cd5fc4ef2373a2ff11dde06ba20.jpg
FILTRE GASOIL,Neuf,"Pikine,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac80aa2324c59cb542b89eef06dede8e/-/horizon-files-prod/ed/picture/qwe2g56z/a833015cc5019c8534ddb023ea4d61bd361c2564.jpg
Chaise Auto Sans dossier,Neuf,"Hann maristes,Dakar",38000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2d43497034884f89eec7d98ecea305b3/-/horizon-files-prod/ed/picture/qwe2zzv5/2e38d202aac260cb2d5fee6cc04c71275a863e49.jpg
Radio écran digital,Neuf,"Hann maristes,Dakar",149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6e84d0da845c4df08df1dff708a18334/-/horizon-files-prod/ed/picture/q2jj4k4g/2d97babc78f3f69d2c67a4bbe78de0ed219ebc05.jpg
CAMERA DE RECUL POUR STATIONNEMENT,Neuf,"Hann maristes,Dakar",50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5691b6d4927e78976e31f2958fd3840a/-/horizon-files-prod/ed/picture/q0gwnx8x/e24d2ec7fc8ef5fb55e3bc3a0aab952fde1ccd5a.jpg
Batterie auto,Neuf,"Liberte 5,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a56fcc646ad86c9eced505908620e77f/-/horizon-files-prod/ed/picture/q4e8z89/484b7c965249a8b8fad89af75c09e3bfda2d178c.jpg
Pneus Hankook 225/60R17 -,Neuf,"Mermoz,Dakar",300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/938abfc190fe9634d269e4e65b8eccef/-/horizon-files-prod/ed/picture/qkrg85g2/47bdbee0254041423e247ebde215e948ed401c6d.jpg
Bouchons de valves pneus lumineux,Neuf,"Keur Massar,Dakar",5000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bb3c51bbab28a3b0138120b9a990ca3c/-/horizon-files-prod/ed/picture/qqp7pz4/238d7d307bdef4231155492cf31dd0901bede1bb.jpg
Led décoration intérieure voiture Multicouleur,Neuf,"Keur Massar,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f1250de6c4f18b2a025b6d7d61d39b2f/-/horizon-files-prod/ed/picture/q56xzvkg/eb60795ef691b84ab6b626d7d985a4839641ee85.jpg
Bande Led décoration intérieure voiture,Neuf,"Keur Massar,Dakar",10000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/137b87349bacb2539cae72880727b1ba/-/horizon-files-prod/ed/picture/q2jq5002/ada4173ed5524b6b5de432ea65beca2f085c1dd5.jpg
Casque modulable,Neuf,"Pikine,Dakar",27000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2f2c6ebbd5e9e5a5195b00b4ec88f1d6/-/horizon-files-prod/ed/picture/qkne9pj/de5ab4a1b9f437d013bb2190d15810c79ba71fe2.jpg
Batterie automobile 12v 75Ah 100Ah,Neuf,"Médina,Dakar",39900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/04ba41a6ebc01d9e186c63308dd57f59/-/horizon-files-prod/ed/picture/q566x5j5/1e4765471e91bc27e8f13be3d193ce06b4786954.jpg
Gyrophare Led Flash,Neuf,"Hann maristes,Dakar",30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e18dc6e4dbe87afda88ce52ea1af21bb/-/horizon-files-prod/ed/picture/qwe2wxrp/55b46059646f0872a73403202693b69594b15363.jpg
Pompe à air,Neuf,"Guediawaye,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/94b392b42266a4c9232cd3e73a771d34/-/horizon-files-prod/ed/picture/q0g2k8vz/07eb683695df34e884a0b1e89a2dee9ba4270d21.jpg
LED Signal phares,Neuf,"Hann maristes,Dakar",55000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bb5f1ea5ed439ef5bfd032d895ff7c2d/-/horizon-files-prod/ed/picture/q8vv20p9/c185b6fb6d465db094a85a12bde8fe457b949f90.jpg
FEUX ANTIBROUILLARD VOITURES,Neuf,"Hann maristes,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0778594d9b834c4348ac3410e7d436a4/-/horizon-files-prod/ed/picture/qdewk0g8/a0d5050a513d1152dc2b7be5f77621a3bac55ae2.jpg
Siege Evolutif auto pour bébé,Neuf,"Hann maristes,Dakar",65000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3cf061ce42a23e8f8b6a901be90185de/-/horizon-files-prod/ed/picture/qv4edkvw/d2252b6adce22c9db5d1869a902ddda4bcd48954.jpg
BANDE DE LUMIÈRES DECORATIVE POUR VOITURE,Neuf,"Hann maristes,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a6066a2c4a6d8b03f5ad77e1eca9861e/-/horizon-files-prod/ed/picture/q0g2n5km/cac23acc07cdfdab72b9f520674a869800fd81df.jpg
Repose tête avec moniteur universel pour siège arrière,Neuf,"Hann maristes,Dakar",80000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3ec84b02fbbdd50e8cfa568efa3c16cc/-/horizon-files-prod/ed/picture/qwee4nrm/394eb326de9289420ea38aefa879994d49049a99.jpg
Chargeur Sans Fil auto multifonction,Neuf,"Point-e,Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4ca566e1fd141b09005c421743a0e456/-/horizon-files-prod/ed/picture/q9m9gknp/bc4ea55d148a13374da26f24caa2910605f6287c.png
Led Ampoules Phare,Neuf,"Hann maristes,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f8276eede0b95d3af08e5f8ee8a2a6a2/-/horizon-files-prod/ed/picture/qq44mzj6/aea5d56c330b97ec29cf1c9e6337983e7bab0dca.jpg
Subwoofer Auto,Neuf,"Hann maristes,Dakar",95000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e6681899fafc5650a9a43408930936e8/-/horizon-files-prod/ed/picture/qennje62/ab26fb564b97d61721e56c172d92e9065d8f2e68.jpg
Bâche Automobile,Neuf,"Hann maristes,Dakar",28000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b0f8886dc5a0a2712902af0325148a28/-/horizon-files-prod/ed/picture/q2jj2zk6/7b00ba2782290a7ae3600665ce426b59d1640075.jpg
LED LUMIÈRE POUR VOITURES,Neuf,"Hann maristes,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0b528e396d4857850a9333a867c3d05a/-/horizon-files-prod/ed/picture/qj4j5zqd/51f260801066679fc25d86a3ca439a6b204d845c.jpg
cles autel universel pour toute voiture,Neuf,"Yoff,Dakar",20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b904c49077a685c6b70bd96fa89eb5b2/-/horizon-files-prod/ed/picture/qq4d09x6/a2272f73ed8dc575a1127e7657ad6d64d4835a00.jpg
launch x431 crp 909,Neuf,"Yoff,Dakar",380000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ed67a0b54301fb4e85e0a04529ac2211/-/horizon-files-prod/ed/picture/q04qjp8/bee5837859e5f404c029fa4fafd54b0134429554.jpg
"programmateurs de calculateur kess ,katag",Neuf,"Yoff,Dakar",100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/50af0420dd1397fc10fd3b742e8afc5f/-/horizon-files-prod/ed/picture/qm90v0r/33b1d499b7f8ee62ce7ba0a5f068336999c32acc.jpg
Housse de Volant en Strass,Neuf,"Grand-Dakar,Dakar",7500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/de417d962641ed6f9ce11fd32d89f85e/-/horizon-files-prod/ed/picture/q2jjdnw6/7c075452a1bac790670fd59d8f65b92de4458b0a.jpg
HABIB AUTO SERVICES,Neuf,"Patte d‘oie,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4d1bc1e0729941960f04d5e6cdcfaefe/-/horizon-files-prod/ed/picture/qwe2gj00/11ba14b90106084bc398aef9434ae74c85becafe.jpg
BOOSTER DE BATTERIE,Neuf,"Mbour,Thiès",100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ed699fbfc0eab2003b84df2bcf006632/-/horizon-files-prod/ed/picture/qq475k8v/8bec7d7a3fb923bf9b9436ceed5231aa97e4d515.jpg
BOOSTER DE BATTERIE,Neuf,"Mbour,Thiès",100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/05b328b82a7ea7a298fc5674ff3b0b26/-/horizon-files-prod/ed/picture/qq475gnj/30b69da337d99b46a3cc3b52a2a695af4eee9196.jpg
Batterie de voiture 75ah neuve,Neuf,"Plateau,Dakar",38000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/55c22ca9ace97c04d9705ecea09f840d/-/horizon-files-prod/ed/picture/q56xz4nx/5a6eb8816d25df58626f2188d5d01c8e05e53395.jpg
Antivols motos,Neuf,"Castor,Dakar",8500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/697afb4453a1aac60b45a93c4aaa7ac7/-/horizon-files-prod/ed/picture/qxj26ejw/d323729f28d961422bd8aa88cee1a3cd9b763881.jpg
Malette moto et scooter,Neuf,"Castor,Dakar",19500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/412a0b4894e29601cf3d4083c403982e/-/horizon-files-prod/ed/picture/q9m9jqqw/4d36ed52dc756ef65816b11598e489f8fd74ab9a.jpg
Moteur tricycle 200,Neuf,"Castor,Dakar",235000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e572c7ddf512d45ff9fe4f41ef045c4c/-/horizon-files-prod/ed/picture/qwe2ppvp/f45e49d79f7921442a23acf9e7c4781b6bafd0dd.jpg
Pièces et équipements motos,Neuf,"Castor,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/35a6d04e20d694ce21dc64d833015f61/-/horizon-files-prod/ed/picture/q9m95dx5/00559d67dd15d97b018b3eba419d2393568d6ae0.jpg
Karcher,Neuf,"Hann maristes,Dakar",100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8b88cddb546b701b07646354adea8f6e/-/horizon-files-prod/ed/picture/qmeenmd/6026ac72e8f7fa3fd01dc6093c46edc7308de482.jpg
Siège auto pour Bébé haut de gamme,Neuf,"Hann maristes,Dakar",65000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1c3427b3094e63897903d66f999bc039/-/horizon-files-prod/ed/picture/qenqdqkk/6d801b7d3ff40ee5a38257144e290c94be712974.jpg
Housses de siège voiture,Neuf,"Grand-Dakar,Dakar",60000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fbf69266a7ebf04f9c27f6f1b81011bd/-/horizon-files-prod/ed/picture/qdeej028/41bb9289282214b3d796b3be27c71b315942ddcc.jpg
Casque haut de Gamme Modulable en Fibre de verre,Neuf,"Hann maristes,Dakar",165000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1f3633eb0b6942dc2a0daba8912d6741/-/horizon-files-prod/ed/picture/q0gwk9vk/5a34e0ea04179c31cc8bc6432380ccaaeea48681.jpg
Starpneu,Neuf,"Yoff,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4147ae9cadbac7c456881b8b6a48d281/-/horizon-files-prod/ed/picture/migrated/qvg0545/67ac1637dd04fdb53c4dc15a1b952cdff34e550e.jpg
Pare-Chocs,Neuf,"Hann maristes,Dakar",35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b52626a849c1f1e80cbddf37ed6d9a46/-/horizon-files-prod/ed/picture/q2jr0kne/06383f7faebb32e20d65e26d74e3adffd037beca.jpg
Gyrophare Led,Neuf,"Hann maristes,Dakar",40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4d7c5a2bb8cb1871b34755129b333155/-/horizon-files-prod/ed/picture/qpddqvv2/c78a4016f97d5800b86c4f53f2876d51b32b7852.jpg
