details,etat,adresse_vente,prix,image_link
pare-brise de voiture pare-soleil rayons UV et chaleur,Neuf,"Plateau,Dakar",15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cd2fd4b4a521f07f55c3f21630e1df7f/-/horizon-files-prod/ed/picture/qngxeq0k/58103667c7e1e41d2fa5a21f62ccf22a9d22d663.jpg
Casques Shark Carbon,Neuf,"Hann maristes,Dakar",150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/987f91e273ea32f033e56484c8564469/-/horizon-files-prod/ed/picture/q785q2rj/e2966d70c2cf8c444a5302b149f70067136de3d9.jpg
Casques Moto Homologués DOT et ECE,Neuf,"Castor,Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a4988c46db3d33f71ee8484ea46e1250/-/horizon-files-prod/ed/picture/qm5pekq2/99a14f6e529cfa3b77e8b35620ef1b5211352828.jpg
Batterie auto 12 mois garantie,Neuf,"Médina,Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bc1dd2079ae86a0bf40b3132db429d6b/-/horizon-files-prod/ed/picture/q785zr8n/91056d9b9e574563acf5fb25bba49bd8a92db1eb.jpg
Vente et montage Pare-brise auto,Neuf,"Plateau,Dakar",40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/23fd75577c77177687624d2e3de8192e/-/horizon-files-prod/ed/picture/q785pxnx/37126279d4cec58c9d023422f114d6893955d42c.jpg
Pare-brise Auto,Neuf,"Plateau,Dakar",50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dd8c84ba6ed7656ab0e6571ef889f5f0/-/horizon-files-prod/ed/picture/qnmemvr/9b3e4735775ea9fe456f617987a5ff65d95e646e.jpg
Bâche auto sur mesure,Neuf,"Pikine,Dakar",19000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/96780f262f8f5e1ba1603307928283c9/-/horizon-files-prod/ed/picture/q9m8zv87/bd041f461e83b5a161d2ab0c0d2d030c17c1a9a4.jpg
Casque LS2 Valiant 2,Neuf,"Castor,Dakar",142500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dc396313b1334c901dbabd7e992a0636/-/horizon-files-prod/ed/picture/qwe27k5d/11314103a9d32ba8bf1154b6aeb2f89c7d600b63.jpg
GPS Tracker Moto,Neuf,"Guediawaye,Dakar",25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e5ec098f082327bf0155817d57dcb1cb/-/horizon-files-prod/ed/picture/qgq908j8/a85597ac36bd7af13106d349597698ef3a7c696f.png
GPS Tracker Voiture et Moto,Neuf,"Guediawaye,Dakar",40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a75d0b026b0a4cdfdbbba321cb37be21/-/horizon-files-prod/ed/picture/qq47v687/bbe3de00b5eaad0e65d7d82dd3508d5913b8ae3a.png
FREIN BREMBO AV / AR POUR BMW R 1250 GS ADVENTURE,Neuf,"Hann maristes,Dakar",120000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2567afde63d78418ca95f1b84372c511/-/horizon-files-prod/ed/picture/q448v0z9/8b648bbb3e814e9cad91bf5c922a36101de1c02d.jpg
pneu 315/80R22.5 marque apollo,Neuf,"Sacré-cœur,Dakar",200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac6f58a7f8257fa86f477474f180f05f/-/horizon-files-prod/ed/picture/qrzvev65/0c423ba970b6ea6ef26d022c10304126ef4ecabb.png
