etat,marque,année,boite vitesse,adresse,prix(FCFA),image_lien
Venant,Mitsubishi,2021,Automatique,"Sacré-cœur,Dakar",18500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c2cefa9504a3945662cec6406cc72646/-/horizon-files-prod/ed/picture/qxjjpd5n/2cfda73da4331ec54467bfafd5da00ae8b27f4f8.jpg
Venant,Citroen,2013,Manuelle,"Hlm,Dakar",4700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9a362dea1a58753a43d392a59ad74ced/-/horizon-files-prod/ed/picture/qrzzwe92/f9c76c3a2e88703555d96a5b9f4933b3b30630b7.jpg
Venant,Ford,2015,Automatique,"VDN,Dakar",7900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9d3fc18bbd2a0b9785af8bae4b07e85a/-/horizon-files-prod/ed/picture/qxjdz0qj/7b4dc84103c99d6ba30278ca4892e3ce8f889a39.jpg
Venant,Mitsubishi,2015,Automatique,"Point-e,Dakar",8200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b3e355217af3eb02fb93534abe0786e3/-/horizon-files-prod/ed/picture/qwe2dz60/1c06fc5592fb0bc6f72740b43e5dde7384be7980.jpg
Venant,Peugeot,2014,Manuelle,"Grand-Yoff,Dakar",6900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1624ddc237e9b4acdb2d9debf1b64624/-/horizon-files-prod/ed/picture/q6x7pzj4/95d69ceeb19c66fdfcb4c569bae7dbcd0c5f64bf.jpg
Venant,Peugeot,2014,Automatique,"Hann maristes,Dakar",4800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cd3217c44c56455f327f4ca4f8e420b4/-/horizon-files-prod/ed/picture/q2jj22vk/3e4234a6f10645e79e7f8b119c195d1a230e4c65.png
Occasion,Ford,2012,Automatique,"Cité Damel,Dakar",6000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b46ba6f60e5c99d35a69697f6f342f5c/-/horizon-files-prod/ed/picture/qwee7ejd/983b278b13e57279e5f04a77e33a0a7ab8dcf2d8.jpg
Occasion,Ford,2012,Automatique,"Yoff,Dakar",6999999,https://i.roamcdn.net/hz/ed/listing-thumb-543w/94626cf2399d4dd4008d5b56c080f2ca/-/horizon-files-prod/ed/picture/q2jzw9qq/d1b12cd3e2147bc2adbf714d73e17786521395aa.jpg
Occasion,Citroen,2011,Manuelle,"VDN,Dakar",4500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bea37f3e16709f0b910eab29e84161f8/-/horizon-files-prod/ed/picture/qpdd5xqm/057e370b8f759c001c4e6099114fb9ea8b2626e4.jpg
Occasion,Ford,2015,Automatique,"Nord foire,Dakar",17500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ab69068fc48ea697ba68ec47716034d0/-/horizon-files-prod/ed/picture/qpdddn90/ba7db58a1c0f914954fcffd43662fa55dbf5eb9c.jpg
